辽宁电信,#genre#
金鹰卡通频道,http://10.255.128.136/PLTV/88888888/224/3221226268/10000100000000060000000000801410_0.smil/index.m3u8?fmt=ts2hls
卡酷少儿频道,http://10.255.128.136/PLTV/88888888/224/3221226261/10000100000000060000000000801427_0.smil/index.m3u8?fmt=ts2hls
快乐垂钓频道,http://10.255.128.136/PLTV/88888888/224/3221225832/10000100000000060000000000264071_0.smil/index.m3u8?fmt=ts2hls
乐游频道,http://10.255.128.136/PLTV/88888888/224/3221226180/10000100000000060000000000602974_0.smil/index.m3u8?fmt=ts2hls
梨园频道,http://10.255.128.136/PLTV/88888888/224/3221226220/10000100000000060000000000799003_0.smil/index.m3u8?fmt=ts2hls
武术世界频道,http://10.255.128.136/PLTV/88888888/224/3221226235/10000100000000060000000000799004_0.smil/index.m3u8?fmt=ts2hls
CETV1,http://10.255.128.136/PLTV/88888888/224/3221225793/10000100000000060000000000000362_0.smil/index.m3u8?fmt=ts2hls
CETV4,http://10.255.128.136/PLTV/88888888/224/3221226256/10000100000000060000000000801381_0.smil/index.m3u8?fmt=ts2hls
沈阳新闻综合频道,http://10.255.128.136/PLTV/88888888/224/3221225786/10000100000000060000000000000323_0.smil/index.m3u8?fmt=ts2hls
安多藏语综合频道,http://10.255.128.136/PLTV/88888888/224/3221226265/10000100000000060000000000863648_0.smil/index.m3u8?fmt=ts2hls
嘉佳卡通频道,http://10.255.128.136/PLTV/88888888/224/3221225736/10000100000000060000000000000273_0.smil/index.m3u8?fmt=ts2hls
炫动卡通频道,http://10.255.128.136/PLTV/88888888/224/3221225734/10000100000000060000000000000271_0.smil/index.m3u8?fmt=ts2hls
家庭理财频道,http://10.255.128.136/PLTV/88888888/224/3221225687/10000100000000060000000000000223_0.smil/index.m3u8?fmt=ts2hls
山东体育卫视,http://10.255.128.136/PLTV/88888888/224/3221226288/10000100000000060000000000863667_0.smil/index.m3u8?fmt=ts2hls
康巴藏语综合频道,http://10.255.128.136/PLTV/88888888/224/3221226266/10000100000000060000000000863653_0.smil/index.m3u8?fmt=ts2hls
文物宝库频道,http://10.255.128.136/PLTV/88888888/224/3221226224/10000100000000060000000000799005_0.smil/index.m3u8?fmt=ts2hls
先锋乒羽频道,http://10.255.128.136/PLTV/88888888/224/3221226212/10000100000000060000000000787862_0.smil/index.m3u8?fmt=ts2hls
新动漫频道,http://10.255.128.136/PLTV/88888888/224/3221225697/10000100000000060000000000000233_0.smil/index.m3u8?fmt=ts2hls
央广购物频道,http://10.255.128.136/PLTV/88888888/224/3221225808/10000100000000060000000000048771_0.smil/index.m3u8?fmt=ts2hls
优漫卡通频道,http://10.255.128.136/PLTV/88888888/224/3221225735/10000100000000060000000000000272_0.smil/index.m3u8?fmt=ts2hls
中华特产频道,http://10.255.128.136/PLTV/88888888/224/3221225841/10000100000000060000000000446101_0.smil/index.m3u8?fmt=ts2hls
兵器科技频道,http://10.255.128.136/PLTV/88888888/224/3221225797/10000100000000060000000000000423_0.smil/index.m3u8?fmt=ts2hls
第一剧场频道,http://10.255.128.136/PLTV/88888888/224/3221225753/10000100000000060000000000000290_0.smil/index.m3u8?fmt=ts2hls
电视指南频道,http://10.255.128.136/PLTV/88888888/224/3221225751/10000100000000060000000000000288_0.smil/index.m3u8?fmt=ts2hls
风云剧场频道,http://10.255.128.136/PLTV/88888888/224/3221225755/10000100000000060000000000000292_0.smil/index.m3u8?fmt=ts2hls
风云音乐频道,http://10.255.128.136/PLTV/88888888/224/3221225757/10000100000000060000000000000294_0.smil/index.m3u8?fmt=ts2hls
风云足球频道,http://10.255.128.136/PLTV/88888888/224/3221225752/10000100000000060000000000000289_0.smil/index.m3u8?fmt=ts2hls
高尔夫网球频道,http://10.255.128.136/PLTV/88888888/224/3221225866/10000100000000060000000000533951_0.smil/index.m3u8?fmt=ts2hls
怀旧剧场频道,http://10.255.128.136/PLTV/88888888/224/3221225756/10000100000000060000000000000293_0.smil/index.m3u8?fmt=ts2hls
女性时尚频道,http://10.255.128.136/PLTV/88888888/224/3221225760/10000100000000060000000000000297_0.smil/index.m3u8?fmt=ts2hls
世界地理频道,http://10.255.128.136/PLTV/88888888/224/3221225754/10000100000000060000000000000291_0.smil/index.m3u8?fmt=ts2hls
央视台球频道,http://10.255.128.136/PLTV/88888888/224/3221225798/10000100000000060000000000000424_0.smil/index.m3u8?fmt=ts2hls
央视文化精品频道,http://10.255.128.136/PLTV/88888888/224/3221225758/10000100000000060000000000000295_0.smil/index.m3u8?fmt=ts2hls
CGTN-阿拉伯语国际频道,http://10.255.128.136/PLTV/88888888/224/3221226260/10000100000000060000000000801394_0.smil/index.m3u8?fmt=ts2hls
CGTN-俄语国际频道,http://10.255.128.136/PLTV/88888888/224/3221226279/10000100000000060000000000801397_0.smil/index.m3u8?fmt=ts2hls
CGTN-法语国际频道,http://10.255.128.136/PLTV/88888888/224/3221226275/10000100000000060000000000801393_0.smil/index.m3u8?fmt=ts2hls
CGTN-纪录频道（国际版）,http://10.255.128.136/PLTV/88888888/224/3221225792/10000100000000060000000000000361_0.smil/index.m3u8?fmt=ts2hls
CGTN-西班牙语国际频道,http://10.255.128.136/PLTV/88888888/224/3221226249/10000100000000060000000000801388_0.smil/index.m3u8?fmt=ts2hls
CGTN-英语新闻频道,http://10.255.128.136/PLTV/88888888/224/3221225791/10000100000000060000000000000360_0.smil/index.m3u8?fmt=ts2hls
丹东生活频道,http://10.255.128.136/PLTV/88888888/224/3221225839/10000100000000060000000000411751_0.smil/index.m3u8?fmt=ts2hls
丹东新闻综合频道,http://10.255.128.136/PLTV/88888888/224/3221225840/10000100000000060000000000411750_0.smil/index.m3u8?fmt=ts2hls
营口公共频道,http://10.255.128.136/PLTV/88888888/224/3221225855/10000100000000060000000000500392_0.smil/index.m3u8?fmt=ts2hls
营口新闻综合频道,http://10.255.128.136/PLTV/88888888/224/3221225856/10000100000000060000000000500390_0.smil/index.m3u8?fmt=ts2hls
睛彩竞技,http://10.255.128.136/PLTV/88888888/224/3221226300/10000100000000060000000001081178_0.smil/index.m3u8?fmt=ts2hls?fmt=ts2hls
睛彩青少,http://10.255.128.136/PLTV/88888888/224/3221226319/10000100000000060000000001081183_0.smil/index.m3u8?fmt=ts2hls?fmt=ts2hls
睛彩篮球,http://10.255.128.136/PLTV/88888888/224/3221226285/10000100000000060000000001081181_0.smil/index.m3u8?fmt=ts2hls?fmt=ts2hls
书画频道,http://10.255.128.136/PLTV/88888888/224/3221226176/10000100000000060000000000602970_0.smil/index.m3u8?fmt=ts2hls
游戏风云频道,http://10.255.128.136/PLTV/88888888/224/3221226182/10000100000000060000000000602964_0.smil/index.m3u8?fmt=ts2hls
老故事频道,http://10.255.128.136/PLTV/88888888/224/3221226187/10000100000000060000000000635100_0.smil/index.m3u8?fmt=ts2hls
国学频道,http://10.255.128.136/PLTV/88888888/224/3221226189/10000100000000060000000000635098_0.smil/index.m3u8?fmt=ts2hls
证券服务频道,http://10.255.128.136/PLTV/88888888/224/3221226242/10000100000000060000000000801337_0.smil/index.m3u8?fmt=ts2hls

央视频道,#genre#
CCTV-1高清,http://39.134.52.215/PLTV/88888888/224/3221226896/index.m3u8
CCTV-3高清,http://39.134.52.215/PLTV/88888888/224/3221226898/index.m3u8
CCTV-3高清,http://39.134.52.215/PLTV/88888888/224/3221227065/index.m3u8
CCTV-5高清,http://39.134.52.215/PLTV/88888888/224/3221226900/index.m3u8
CCTV-5+高清,http://39.134.52.215/PLTV/88888888/224/3221226912/index.m3u8
CCTV-7高清,http://39.134.52.215/PLTV/88888888/224/3221227067/index.m3u8
CCTV-8高清,http://39.134.52.215/PLTV/88888888/224/3221226902/index.m3u8
CCTV-10高清,http://39.134.52.215/PLTV/88888888/224/3221226904/index.m3u8
CCTV-12高清,http://39.134.52.215/PLTV/88888888/224/3221226906/index.m3u8
CCTV-14高清,http://39.134.52.215/PLTV/88888888/224/3221226908/index.m3u8
CCTV-16高清,http://39.134.52.215/PLTV/88888888/224/3221226910/index.m3u8
CCTV-1,http://39.134.52.215/PLTV/88888888/224/3221226556/index.m3u8
CCTV-2,http://39.134.52.215/PLTV/88888888/224/3221226608/index.m3u8
CCTV-2,http://39.134.52.215/PLTV/88888888/224/3221226843/index.m3u8
CCTV-4,http://39.134.52.215/PLTV/88888888/224/3221226517/index.m3u8
CCTV-4,http://39.134.52.215/PLTV/88888888/224/3221226636/index.m3u8
CCTV-4,http://39.134.52.215/PLTV/88888888/224/3221226845/index.m3u8
CCTV-5,http://39.134.52.215/PLTV/88888888/224/3221227126/index.m3u8
CCTV-5+,http://39.134.52.215/PLTV/88888888/224/3221226611/index.m3u8
CCTV-6,http://39.134.52.215/PLTV/88888888/224/3221227128/index.m3u8
CCTV-6,http://39.134.52.215/PLTV/88888888/224/3221227060/index.m3u8
CCTV-6,http://39.134.52.215/PLTV/88888888/224/3221226847/index.m3u8
CCTV-7,http://39.134.52.215/PLTV/88888888/224/3221226640/index.m3u8
CCTV-8,http://39.134.52.215/PLTV/88888888/224/3221227130/index.m3u8
CCTV-9,http://39.134.52.215/PLTV/88888888/224/3221226849/index.m3u8
CCTV-10,http://39.134.52.215/PLTV/88888888/224/3221226604/index.m3u8
CCTV-11,http://39.134.52.215/PLTV/88888888/224/3221226851/index.m3u8
CCTV-11,http://39.134.52.215/PLTV/88888888/224/3221226558/index.m3u8
CCTV-12,http://39.134.52.215/PLTV/88888888/224/3221226606/index.m3u8
CCTV-13,http://39.134.52.215/PLTV/88888888/224/3221226853/index.m3u8
CCTV-14,http://39.134.52.215/PLTV/88888888/224/3221226855/index.m3u8
CCTV-14,http://39.134.52.215/PLTV/88888888/224/3221226571/index.m3u8
CCTV-16,http://39.134.52.215/PLTV/88888888/224/3221226834/index.m3u8
CCTV-17,http://39.134.52.215/PLTV/88888888/224/3221226594/index.m3u8
CCTV-17,http://39.134.52.215/PLTV/88888888/224/3221226613/index.m3u8
CCTV-17,http://39.134.52.215/PLTV/88888888/224/3221226857/index.m3u8
CETV-1,http://39.134.52.215/PLTV/88888888/224/3221226518/index.m3u8

卫视频道,#genre#
辽宁卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226859/index.m3u8
北京卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226871/index.m3u8
黑龙江卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226873/index.m3u8
山东卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226875/index.m3u8
东方卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226877/index.m3u8
安徽卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226879/index.m3u8
湖北卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226883/index.m3u8
重庆卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226885/index.m3u8
湖南卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226887/index.m3u8
天津卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226926/index.m3u8
吉林卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226928/index.m3u8
广东卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226934/index.m3u8
河南卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226936/index.m3u8
河南卫视高清,http://39.134.52.215/PLTV/88888888/224/3221227069/index.m3u8
四川卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226938/index.m3u8
广西卫视高清,http://39.134.52.215/PLTV/88888888/224/3221227073/index.m3u8
江西卫视高清,http://39.134.52.215/PLTV/88888888/224/3221227136/index.m3u8
深证卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226881/index.m3u8
东南卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226536/index.m3u8
东南卫视高清,http://39.134.52.215/PLTV/88888888/224/3221227071/index.m3u8
河北卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226576/index.m3u8
河北卫视高清,http://39.134.52.215/PLTV/88888888/224/3221227132/index.m3u8
广西卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226580/index.m3u8
贵州卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226616/index.m3u8
浙江卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226618/index.m3u8
浙江卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226932/index.m3u8
江苏卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226638/index.m3u8
江苏卫视高清,http://39.134.52.215/PLTV/88888888/224/3221226930/index.m3u8
江西卫视,http://39.134.52.215/PLTV/88888888/224/3221226516/index.m3u8
厦门卫视,http://39.134.52.215/PLTV/88888888/224/3221226529/index.m3u8
湖南卫视,http://39.134.52.215/PLTV/88888888/224/3221226532/index.m3u8
浙江卫视,http://39.134.52.215/PLTV/88888888/224/3221226541/index.m3u8
安徽卫视,http://39.134.52.215/PLTV/88888888/224/3221226569/index.m3u8
北京卫视,http://39.134.52.215/PLTV/88888888/224/3221226574/index.m3u8
重庆卫视,http://39.134.52.215/PLTV/88888888/224/3221226575/index.m3u8
湖北卫视,http://39.134.52.215/PLTV/88888888/224/3221226579/index.m3u8
宁夏卫视,http://39.134.52.215/PLTV/88888888/224/3221226587/index.m3u8
山东卫视,http://39.134.52.215/PLTV/88888888/224/3221226589/index.m3u8
陕西卫视,http://39.134.52.215/PLTV/88888888/224/3221226591/index.m3u8
深圳卫视,http://39.134.52.215/PLTV/88888888/224/3221226595/index.m3u8
四川卫视,http://39.134.52.215/PLTV/88888888/224/3221226597/index.m3u8
天津卫视,http://39.134.52.215/PLTV/88888888/224/3221226599/index.m3u8
新疆卫视,http://39.134.52.215/PLTV/88888888/224/3221226601/index.m3u8
兵团卫视,http://39.134.52.215/PLTV/88888888/224/3221226602/index.m3u8
东方卫视,http://39.134.52.215/PLTV/88888888/224/3221226610/index.m3u8
